t, t_system, base_utc_sec, base_utc_nano, base_ypr_0,base_ypr_1,base_ypr_2,base_a_0,base_a_1,base_a_2,base_W_0,base_W_1,base_W_2,base_llh_0,base_llh_1,base_llh_2,base_status, base_sats, base_ane_0,base_ane_1,base_ane_2,ypr_0,ypr_1,ypr_2,a_0,a_1,a_2,W_0,W_1,W_2,rtk_x_0,rtk_x_1,rtk_x_2,rtk_v_0,rtk_v_1,rtk_v_2,llh_0,llh_1,llh_2,status, sats, utc_sec, utc_nano, ane1_0,ane1_1,ane1_2,ane2_0,ane2_1,ane2_2,idx1, idx2, 
0.964,232714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.77813720703125,1.444707989692688,-2.698845386505127,0.25808343291282654,0.4689778983592987,-9.727895736694336,0.00030814914498478174,-0.00010213511995971203,-0.0005466779693961143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
0.984,232714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.77735137939453,1.4461143016815186,-2.6993987560272217,0.26636677980422974,0.4601697623729706,-9.717422485351562,-0.0008038062369450927,0.0018184853252023458,-0.0011865878477692604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
1.005,232714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.776432037353516,1.4460028409957886,-2.701044797897339,0.23803198337554932,0.4449318051338196,-9.751860618591309,0.0023744781501591206,-0.0014283007476478815,-0.0012908391654491425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
1.025,232714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.77543258666992,1.4452062845230103,-2.6993653774261475,0.24863585829734802,0.4539805054664612,-9.73495101928711,0.0005179912550374866,-0.0012624782975763083,-0.0010096859186887741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
1.046,232714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.775421142578125,1.4458290338516235,-2.6982765197753906,0.2561552822589874,0.45513981580734253,-9.761092185974121,0.00036666332744061947,0.0016720474231988192,0.000337749719619751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
1.066,232714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.775421142578125,1.4458290338516235,-2.6982765197753906,0.2561552822589874,0.45513981580734253,-9.761092185974121,0.00036666332744061947,0.0016720474231988192,0.000337749719619751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
1.086,232714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.773773193359375,1.4455770254135132,-2.694714069366455,0.2578273415565491,0.4503406286239624,-9.703893661499023,0.00028869369998574257,-0.0003348039463162422,-8.653849363327026e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
1.107,232714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.773624420166016,1.4470475912094116,-2.693389892578125,0.2438632994890213,0.4589684009552002,-9.740178108215332,-0.0011500011896714568,-0.0001340014860033989,-0.0010844720527529716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
1.127,232714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.772926330566406,1.4478877782821655,-2.6943161487579346,0.26801052689552307,0.4705667495727539,-9.734289169311523,-0.0013519510393962264,1.1372379958629608e-05,1.6014091670513153e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
1.147,232714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,63.77216720581055,1.448350191116333,-2.7001638412475586,0.2599032521247864,0.4503157138824463,-9.728683471679688,-0.004651850555092096,-0.0010710961651057005,-0.00048498064279556274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
